major_slug,major_name,degree,total_major_credits,total_degree_credits,source,course_code,course_title,credits,category,req_group,req_group_pick,prereqs,coreqs,offered,notes,track_type
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 10,Intermediate Microeconomics,4,core_required,,0,ECON-UA 2|MATH-UA 131|MATH-UA 132,,both,,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 12,Intermediate Macroeconomics,4,core_required,,0,ECON-UA 10|MATH-UA 131,,both,,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 266,Introduction to Econometrics,4,core_required,,0,ECON-UA 10|MATH-UA 131,,both,,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 18,Statistics (Policy),4,core_required,stats_choice,1,ECON-UA 2,,both,Choose one: ECON-UA 18 (Policy) or ECON-UA 20 (Theory),major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 20,Analytical Statistics,4,core_required,stats_choice,1,ECON-UA 2,,both,Choose one: ECON-UA 18 (Policy) or ECON-UA 20 (Theory),major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 238,International Economics,4,major_elective,policy_required_elective,1,ECON-UA 2,,varies,Policy track: choose 1 of 3,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 227,Urban Economics,4,major_elective,policy_required_elective,1,ECON-UA 2,,varies,Policy track: choose 1 of 3,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 231,Money and Banking,4,major_elective,policy_required_elective,1,ECON-UA 2,,varies,Policy track: choose 1 of 3,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA-ELECTIVE-1,Economics Elective 1 (200-300 level),4,major_elective,econ_electives,3,ECON-UA 10|ECON-UA 12,,varies,At least 2 must be ECON-UA 300-level,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA-ELECTIVE-2,Economics Elective 2 (200-300 level),4,major_elective,econ_electives,3,ECON-UA 10|ECON-UA 12,,varies,At least 2 must be ECON-UA 300-level,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA-ELECTIVE-3,Economics Elective 3 (200-300 level),4,major_elective,econ_electives,3,ECON-UA 10|ECON-UA 12,,varies,At least 2 must be ECON-UA 300-level,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-1,Free Elective 1,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-2,Free Elective 2,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-3,Free Elective 3,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-4,Free Elective 4,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-5,Free Elective 5,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-6,Free Elective 6,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-7,Free Elective 7,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-8,Free Elective 8,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-9,Free Elective 9,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-10,Free Elective 10,4,major_elective,,0,,,both,General degree elective,major
economics-ba,Economics,BA,40,128,bulletin_scraped,FREE-ELECTIVE-11,Free Elective 11,4,major_elective,,0,,,both,General degree elective,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FIRST-YEAR-SEMINAR,First-Year Seminar,4,gen_ed,,0,,,fall,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,EXPOS-UA 1,Writing as Inquiry,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,LANG-LEVEL-1,Foreign Language I,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,LANG-LEVEL-2,Foreign Language II,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,LANG-LEVEL-3,Foreign Language III,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,LANG-LEVEL-4,Foreign Language IV (Intermediate),4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,CORE-TEXTS,Texts and Ideas,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,CORE-CULTURES,Cultures and Contexts,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,CORE-EXPRESSIVE,Expressive Culture,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,CORE-PHYSICAL-SCI,Physical Science,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,CORE-LIFE-SCI,Life Science,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 1,Introduction to Psychology,4,core_required,,0,,,both,Must complete with C+ to declare major,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 10,Statistics for The Behavioral Sciences,4,core_required,psych_stats,1,PSYCH-UA 1,,both,Choose one; C or better required,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 11,Statistics and Data Analysis for Research in Psychology,4,core_required,psych_stats,1,PSYCH-UA 1,,both,Choose one; C or better required,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 8,Data Literacy for Psychology,4,core_required,psych_quant,1,PSYCH-UA 1,,varies,Quantitative req — cannot double-count with stats req,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,DS-UA 112,Principles of Data Science II,4,core_required,psych_quant,1,DS-UA 111,,varies,Quantitative req — cannot double-count with stats req,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 60,Illusions to Inference,4,core_required,psych_quant,1,PSYCH-UA 1,,varies,Quantitative req — cannot double-count with stats req,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 22,Perception,4,core_required,psych_core_a,2,PSYCH-UA 1,,varies,Core A: Psychology as natural science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 25,Cognitive Neuroscience,4,core_required,psych_core_a,2,PSYCH-UA 1,,varies,Core A: Psychology as natural science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 29,Cognition,4,core_required,psych_core_a,2,PSYCH-UA 1,,varies,Core A: Psychology as natural science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 34,Developmental Psychology,4,core_required,psych_core_a,2,PSYCH-UA 1,,varies,Core A: Psychology as natural science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 35,Social Neuroscience,4,core_required,psych_core_a,2,PSYCH-UA 1,,varies,Core A: Psychology as natural science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 30,Personality,4,core_required,psych_core_b,2,PSYCH-UA 1,,varies,Core B: Psychology as social science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 32,Social Psychology,4,core_required,psych_core_b,2,PSYCH-UA 1,,varies,Core B: Psychology as social science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 34,Developmental Psychology,4,core_required,psych_core_b,2,PSYCH-UA 1,,varies,Core B: Psychology as social science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 35,Social Neuroscience,4,core_required,psych_core_b,2,PSYCH-UA 1,,varies,Core B: Psychology as social science; choose 2,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 39,Lab in Personality & Social Psychology,4,core_required,psych_core_c,1,PSYCH-UA 10,,varies,Core C: Laboratory course; often seniors only,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 40,Lab in Developmental Psychology,4,core_required,psych_core_c,1,PSYCH-UA 10,,varies,Core C: Laboratory course; often seniors only,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 42,Lab in Infancy Research,4,core_required,psych_core_c,1,PSYCH-UA 10,,varies,Core C: Laboratory course; often seniors only,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 46,Lab in Cognition and Perception,4,core_required,psych_core_c,1,PSYCH-UA 10,,varies,Core C: Laboratory course; often seniors only,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA 53,Psychological Science and Society Lab,4,core_required,psych_core_c,1,PSYCH-UA 10,,varies,Core C: Laboratory course; often seniors only,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA-ADV-ELECTIVE-1,Advanced Psychology Elective 1,4,major_elective,psych_adv_electives,2,PSYCH-UA 1|PSYCH-UA 10,,varies,Choose from approved advanced elective list (see bulletin),major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,PSYCH-UA-ADV-ELECTIVE-2,Advanced Psychology Elective 2,4,major_elective,psych_adv_electives,2,PSYCH-UA 1|PSYCH-UA 10,,varies,Choose from approved advanced elective list (see bulletin),major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-1,Free Elective 1,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-2,Free Elective 2,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-3,Free Elective 3,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-4,Free Elective 4,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-5,Free Elective 5,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-6,Free Elective 6,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-7,Free Elective 7,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-8,Free Elective 8,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-9,Free Elective 9,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-10,Free Elective 10,4,major_elective,,0,,,both,,major
psychology-ba,Psychology,BA,40,128,bulletin_scraped,FREE-ELECTIVE-11,Free Elective 11,4,major_elective,,0,,,both,,major
biology-ba,Biology,BA,70,128,bulletin_scraped,FIRST-YEAR-SEMINAR,First-Year Seminar,4,gen_ed,,0,,,fall,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,EXPOS-UA 1,Writing as Inquiry,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,LANG-LEVEL-1,Foreign Language I,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,LANG-LEVEL-2,Foreign Language II,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,LANG-LEVEL-3,Foreign Language III,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,LANG-LEVEL-4,Foreign Language IV (Intermediate),4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,CORE-TEXTS,Texts and Ideas,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,CORE-CULTURES,Cultures and Contexts,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,CORE-EXPRESSIVE,Expressive Culture,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,CORE-SOC-SCI,Societies and the Social Sciences,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA 11,Principles of Biology I,4,core_required,,0,,,both,AP Bio score 4-5 exempts; prehealth cannot place out,major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA 12,Principles of Biology II,4,core_required,,0,BIOL-UA 11,,both,,major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA 21,Molecular and Cell Biology I,4,core_required,,0,BIOL-UA 12|CHEM-UA 126,,both,,major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA 22,Molecular and Cell Biology II,4,core_required,,0,BIOL-UA 21,,both,Standard track only,major
biology-ba,Biology,BA,70,128,bulletin_scraped,CHEM-UA 125,General Chemistry I & Laboratory,5,core_required,,0,,,both,5 credits incl lab,major
biology-ba,Biology,BA,70,128,bulletin_scraped,CHEM-UA 126,General Chemistry II & Laboratory,5,core_required,,0,CHEM-UA 125,,both,5 credits incl lab,major
biology-ba,Biology,BA,70,128,bulletin_scraped,CHEM-UA 225,Organic Chemistry I & Laboratory,5,core_required,,0,CHEM-UA 126,,both,5 credits incl lab,major
biology-ba,Biology,BA,70,128,bulletin_scraped,CHEM-UA 226,Organic Chemistry II & Laboratory,5,core_required,,0,CHEM-UA 225,,both,5 credits incl lab,major
biology-ba,Biology,BA,70,128,bulletin_scraped,PHYS-UA 11,General Physics I,5,core_required,,0,MATH-UA 121,,both,5 credits incl lab,major
biology-ba,Biology,BA,70,128,bulletin_scraped,PHYS-UA 12,General Physics II,5,core_required,,0,PHYS-UA 11,,both,5 credits incl lab; standard track only,major
biology-ba,Biology,BA,70,128,bulletin_scraped,MATH-UA 121,Calculus I,4,core_required,,0,,,both,,major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA-UPPER-1,Upper-Level Biology Elective 1,4,major_elective,bio_upper_electives,5,BIOL-UA 21,,varies,"Must include ≥1 lab skill, ≥1 quant skill, ≥1 reasoning skill course; see dept website for list",major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA-UPPER-2,Upper-Level Biology Elective 2,4,major_elective,bio_upper_electives,5,BIOL-UA 21,,varies,"Must include ≥1 lab skill, ≥1 quant skill, ≥1 reasoning skill course; see dept website for list",major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA-UPPER-3,Upper-Level Biology Elective 3,4,major_elective,bio_upper_electives,5,BIOL-UA 21,,varies,"Must include ≥1 lab skill, ≥1 quant skill, ≥1 reasoning skill course; see dept website for list",major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA-UPPER-4,Upper-Level Biology Elective 4,4,major_elective,bio_upper_electives,5,BIOL-UA 21,,varies,"Must include ≥1 lab skill, ≥1 quant skill, ≥1 reasoning skill course; see dept website for list",major
biology-ba,Biology,BA,70,128,bulletin_scraped,BIOL-UA-UPPER-5,Upper-Level Biology Elective 5,4,major_elective,bio_upper_electives,5,BIOL-UA 21,,varies,"Must include ≥1 lab skill, ≥1 quant skill, ≥1 reasoning skill course; see dept website for list",major
biology-ba,Biology,BA,70,128,bulletin_scraped,FREE-ELECTIVE-1,Free Elective 1,4,major_elective,,0,,,both,,major
biology-ba,Biology,BA,70,128,bulletin_scraped,FREE-ELECTIVE-2,Free Elective 2,4,major_elective,,0,,,both,,major
biology-ba,Biology,BA,70,128,bulletin_scraped,FREE-ELECTIVE-3,Free Elective 3,4,major_elective,,0,,,both,,major
biology-ba,Biology,BA,70,128,bulletin_scraped,FREE-ELECTIVE-4,Free Elective 4,4,major_elective,,0,,,both,,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,FIRST-YEAR-SEMINAR,First-Year Seminar,4,gen_ed,,0,,,fall,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,EXPOS-UA 1,Writing as Inquiry,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,LANG-LEVEL-1,Foreign Language I,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,LANG-LEVEL-2,Foreign Language II,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,LANG-LEVEL-3,Foreign Language III,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,LANG-LEVEL-4,Foreign Language IV (Intermediate),4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CORE-TEXTS,Texts and Ideas,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CORE-CULTURES,Cultures and Contexts,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CORE-EXPRESSIVE,Expressive Culture,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CORE-PHYSICAL-SCI,Physical Science,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CORE-LIFE-SCI,Life Science,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CORE-SOC-SCI,Societies and the Social Sciences,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA 2,Introduction to Computer Programming,4,core_required,,0,,,both,Does not count toward major; prereq for CSCI-UA 101. Skip if AP CS A score 3+,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA 101,Introduction to Computer Science,4,core_required,,0,CSCI-UA 2,,both,C or better required,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA 102,Data Structures,4,core_required,,0,CSCI-UA 101,,both,C or better required,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA 201,Computer Systems Organization,4,core_required,,0,CSCI-UA 102,,both,C or better required,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA 202,Operating Systems,4,core_required,,0,CSCI-UA 201,,both,C or better required,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA 310,Basic Algorithms,4,core_required,,0,CSCI-UA 102|MATH-UA 120|MATH-UA 121,,both,C or better required,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,MATH-UA 120,Discrete Mathematics,4,core_required,,0,,,both,C or better required,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,MATH-UA 121,Calculus I,4,core_required,,0,,,both,Or MATH-UA 131; choose one track,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA-4XX-ELECTIVE-1,CS Advanced Elective 1 (400-level),4,major_elective,cs_400_electives,5,CSCI-UA 102,,varies,Must be CSCI-UA 400-level; up to 2 may be replaced by MATH-UA 122/140/185,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA-4XX-ELECTIVE-2,CS Advanced Elective 2 (400-level),4,major_elective,cs_400_electives,5,CSCI-UA 102,,varies,Must be CSCI-UA 400-level; up to 2 may be replaced by MATH-UA 122/140/185,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA-4XX-ELECTIVE-3,CS Advanced Elective 3 (400-level),4,major_elective,cs_400_electives,5,CSCI-UA 102,,varies,Must be CSCI-UA 400-level; up to 2 may be replaced by MATH-UA 122/140/185,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA-4XX-ELECTIVE-4,CS Advanced Elective 4 (400-level),4,major_elective,cs_400_electives,5,CSCI-UA 102,,varies,Must be CSCI-UA 400-level; up to 2 may be replaced by MATH-UA 122/140/185,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,CSCI-UA-4XX-ELECTIVE-5,CS Advanced Elective 5 (400-level),4,major_elective,cs_400_electives,5,CSCI-UA 102,,varies,Must be CSCI-UA 400-level; up to 2 may be replaced by MATH-UA 122/140/185,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,FREE-ELECTIVE-1,Free Elective 1,4,major_elective,,0,,,both,,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,FREE-ELECTIVE-2,Free Elective 2,4,major_elective,,0,,,both,,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,FREE-ELECTIVE-3,Free Elective 3,4,major_elective,,0,,,both,,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,FREE-ELECTIVE-4,Free Elective 4,4,major_elective,,0,,,both,,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,FREE-ELECTIVE-5,Free Elective 5,4,major_elective,,0,,,both,,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,FREE-ELECTIVE-6,Free Elective 6,4,major_elective,,0,,,both,,major
computer-science-ba,Computer Science,BA,48,128,bulletin_scraped,FREE-ELECTIVE-7,Free Elective 7,4,major_elective,,0,,,both,,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,FIRST-YEAR-SEMINAR,First-Year Seminar,4,gen_ed,,0,,,fall,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,EXPOS-UA 1,Writing as Inquiry,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,LANG-LEVEL-1,Foreign Language I,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,LANG-LEVEL-2,Foreign Language II,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,LANG-LEVEL-3,Foreign Language III,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,LANG-LEVEL-4,Foreign Language IV (Intermediate),4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,CORE-TEXTS,Texts and Ideas,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,CORE-CULTURES,Cultures and Contexts,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,CORE-EXPRESSIVE,Expressive Culture,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,CORE-PHYSICAL-SCI,Physical Science,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,CORE-LIFE-SCI,Life Science,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,CORE-SOC-SCI,Societies and the Social Sciences,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,MATH-UA 120,Discrete Mathematics,4,core_required,,0,,,both,,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,MATH-UA 121,Calculus I,4,core_required,,0,,,both,AP Calc AB score 4-5 earns credit,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,MATH-UA 122,Calculus II,4,core_required,,0,MATH-UA 121,,both,AP Calc BC score 5 earns both Calc I & II,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,MATH-UA 123,Calculus III,4,core_required,,0,MATH-UA 122,,both,Or MATH-UA 129 Honors Calculus III,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,MATH-UA 140,Linear Algebra,4,core_required,,0,MATH-UA 121,,both,Or MATH-UA 148 Honors,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,MATH-UA 325,Analysis,4,core_required,,0,MATH-UA 123|MATH-UA 140,,both,Or MATH-UA 328 Honors Analysis I,major
mathematics-ba,Mathematics,BA,52,128,bulletin_scraped,MATH-UA 343,Algebra,4,core_required,,0,MATH-UA 325,,both,Or MATH-UA 348 Honors Algebra I; take after Analysis,major
